term,form count,lemma,decl,adj,total count
αγωνα,16,αγων,3rd,n,16
ψηφον,16,ψηφος,2nd,n,16
αναγκη,15,αναγκη,1st-fem-long,n,15
τειχη,15,τειχος,3rd,n,15
τεκμηριον,15,τεκμηριον,2nd,n,15
αδειαν,13,αδεια,1st-fem-long,n,13
μειρακιον,13,μειρακιον,2nd,n,13
ορκους,13,ορκος,2nd,n,13
στρατηγων,13,στρατηγος,2nd,n,13
ασπιδα,12,ασπις,3rd,n,12
οπλα,12,οπλον,2nd,n,12
τιμωριαν,12,τιμωρια,1st-fem-long,n,12
εισφορας,11,εισφορα,1st-fem-long,n,11
Φρυνιχον,11,Φρυνιχος,2nd,n,11
ησυχιαν,10,ησυχια,1st-fem-long,n,10
τολμης,10,τολμα,1st-fem-short,n,10
χωριον,10,χωριον,2nd,n,10
ψηφισμα,10,ψηφισμα,3rd,n,10
αδικηματων,9,αδικημα,3rd,n,9
απολογιαν,9,απολογια,1st-fem-long,n,9
δυναμιν,9,δυναμις,3rd,n,9
ζημιας,9,ζημια,1st-fem-long,n,9
ιππους,9,ιππος,2nd,n,9
ναυμαχια,9,ναυμαχια,1st-fem-long,n,9
πολεμον,9,πολεμος,2nd,n,9
σιτον,9,σιτος,2nd,n,9
συνθηκας,9,συνθηκη,1st-fem-long,n,9
νουν,8,νοος,2nd,n,8
αδελφην,8,αδελφη,1st-fem-long,n,8
αιτιον,8,αιτιον,2nd,y,8
ειρηνης,8,ειρηνη,1st-fem-long,n,8
ηλικιαν,8,ηλικια,1st-fem-long,n,8
θαλαττης,8,θαλαττα,1st-fem-short,n,8
μηνυτης,8,μηνυτης,1st-masc,n,8
παραδειγμα,8,παραδειγμα,3rd,n,8
πιστιν,8,πιστις,3rd,n,8
προφασιν,8,προφασις,3rd,n,8
γουν,8,???,???,???,
