term,count,lemma,decl,adj,parse
συμφορων,10,συμφορα,1st-fem-long,n
τολμης,10,τολμα,1st-fem-short,n
χωριον,10,χωριον,2nd,n
ψηφισμα,10,ψηφισμα,3rd,n
αδικηματων,9,αδικημα,3rd,n
ανδρας,9,ανηρ,3rd,n
απολογιαν,9,απολογια,1st-fem-long,n
γυναικας,9,γυνη,3rd,n
δυναμιν,9,δυναμις,3rd,n
ζημιας,9,ζημια,1st-fem-long,n
θεοις,9,θεος,2nd,n
ιππους,9,ιππος,2nd,n
ναυμαχια,9,ναυμαχια,1st-fem-long,n
νομος,9,νομος,2nd,n
νομου,9,νομος,2nd,n
ολιγαρχιας,9,ολιγαρχια,1st-fem-long,n
πολεμον,9,πολεμος,2nd,n
πραγμα,9,πραγμα,3rd,n
προγονοι,9,προγονος,2nd,y
σιτον,9,σιτος,2nd,n
συμμαχους,9,συμμαχος,2nd,y
συμμαχων,9,συμμαχος,2nd,y
συνθηκας,9,συνθηκη,1st-fem-long,n
Λακεδαιμονιοι,8,Λακεδαιμονιος,2nd,y
αδελφην,8,αδελφη,1st-fem-long,n
αιτιας,8,αιτια,1st-fem-long,n
αιτιον,8,αιτιον,2nd,y
ανηρ,8,ανηρ,3rd,n
ανθρωπον,8,ανθρωπος,2nd,n
αρετη,8,αρετη,1st-fem-long,n
αρχας,8,αρχη,1st-fem-long,n
αστυ,8,αστυ,3rd,n
γουν,8,???,???,???
ειρηνης,8,ειρηνη,1st-fem-long,n
ηλικιαν,8,ηλικια,1st-fem-long,n
θαλαττης,8,θαλαττα,1st-fem-short,n
κινδυνος,8,κινδυνος,2nd,n
μηνυτης,8,μηνυτης,1st-masc,n
νουν,8,νοος,2nd,n
παραδειγμα,8,παραδειγμα,3rd,n
πιστιν,8,πιστις,3rd,n
προφασιν,8,προφασις,3rd,n
σωματι,8,σωμα,3rd,n
σωτηρια,8,σωτηρια,1st-fem-long,n
